Entry_ID,Lemma_Term,Language_Variety,Dialect_Region,Part_of_Speech,English_Gloss,Cultural_Domain,Cultural_Construct,Sub_Facet,Normative_Valence,Morphology_Root,Cultural_Psychological_Definition,Context_Pragmatic_Usage,Sample_Proverb_Expression,Proverb_Translation,Alternative_Spellings,Region_Community,Confidence,Validation_Status
GCL-TWI-0011,Pɛsɛmenkominya,Twi,Asante / Akuapem,Noun / Adj,Selfishness / Greed / Solitary grasping / Extreme individualism,Language & Culture,Individualism / Autonomy,Anti-Social Egocentrism,Proscriptive (Severe Sanction),pɛ (want) + sɛ (that) + me (I) + nko (alone) + minya (I get),Pathologized individualism where personal accumulation occurs at the expense of communal welfare; viewed as moral decay.,"Severe social reproach applied to corrupt leaders, ungenerous kin, or resource hoarders.","Pɛsɛmenkominyafoɔ kɔ akuraa a, ɔno nko na ɔwe akokɔ.","When the selfish man goes to the village, he eats the whole chicken alone in isolation.",,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0012,Ahomasoɔ,Twi,Asante / Akuapem,Noun,Arrogance / Hubris / Self-exaltation / Conceit,Language & Culture,Individualism & Hierarchy Violation,Disruptive Self-Aggrandizement,Proscriptive (Negative Sanction),aho- (self/body) + ma-so (lifting up),"Elevating oneself above others in defiance of social hierarchy, humility norms, and collective equality.",Warns individuals against boasting or displaying contempt toward elders or peers.,Ahomasoɔ de brɛbrɛ kɔ owuo mu.,Arrogant self-exaltation marches steadily and inevitably toward ruin and death.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0013,Ahododoɔ,Twi,Asante / Akuapem,Noun,Ostentation / Vanity / Conspicuous boastfulness,Language & Culture,Individualism / Autonomy,Status-Seeking & Vainglory,Proscriptive (Negative Sanction),aho- (self) + dodo (excess/overabundance),Flamboyant display of wealth or achievements that breaches communal egalitarian values and breeds resentment.,Used to counsel against conspicuous consumption and flashy boastfulness.,"Ahododoɔfoɔ tɔ nsuo mu a, obi nnye no.","When the boastful show-off falls into deep waters, onlookers hesitate to rescue him.",,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0014,Ahopɛ,Twi,Asante / Akuapem,Noun,Hedonism / Self-pampering / Self-indulgence / Narcissism,Language & Culture,Individualism / Autonomy,Indulgent Self-Absorption,Proscriptive (Sanction),aho- (self/body) + pɛ (love/desire),Excessive love and indulgence of one's own physical self and desires to the neglect of communal duties.,Used to caution against frivolous living and self-centered spending.,Ahopɛ dodoɔ na ɛde ohia ba.,Excessive self-pampering and pleasure-seeking breeds poverty.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0015,Me ara me pɛ,Twi,General Akan,Idiom,'My own will alone' / Obstinate self-determination,Language & Culture,Individualism / Autonomy,Rejection of Communal Counsel,Proscriptive (Negative Sanction),me ara (myself) + me pɛ (my desire),Disregarding collective advice or elder guidance in favor of stubborn self-determination.,Applied to rebellious youth or stubborn adults who refuse familial mediation.,Me ara me pɛ de onipa kɔ asɛm kɛseɛ mu.,Insisting on 'my own will alone' leads a person into catastrophe.,,General Akan, Reviewed,Approved
GCL-TWI-0016,Anikonkrɔn,Twi,Asante / Akuapem,Noun,Covetousness / Unrestrained cupidity / Resource craving,Language & Culture,Individualism / Autonomy,Resource Hoarding & Envy,Proscriptive (Negative Sanction),ani- (eye) + konkrɔn (longing/insatiability),"Insatiable lust for the possessions of others, undermining social trust and equity.","Used in dispute resolutions involving theft, boundary disputes, or inheritance.",Anikonkrɔn de abususɛm ba.,Covetous greed breeds devastating internal strife within the clan.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0017,Ahoɔyaw (or Ahoɔyaa),Twi,Asante / Akuapem,Noun,Jealousy / Malicious envy / Resentment of peer success,Language & Culture,Individualism vs In-Group Harmony,Malicious Relational Friction,Proscriptive (Moral Danger),aho- (self/body) + yaw/yaa (pain/bitterness),Internal bitterness experienced when another community member prospers; seen as the root of witchcraft and spiritual malice.,Invoked to warn against competing with siblings or neighbors.,Ahoɔyaw de owuo ba.,Bitter envy breeds death and destruction.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0018,Adifudepɛ,Twi,Asante / Akuapem,Noun,Greed for free goods / Gluttony / Parasitic grasping,Language & Culture,Individualism & Free-Riding,Parasitic Resource Extraction,Proscriptive (Sanction),adi-fudeɛ (free/unearned food) + pɛ (craving),Craving to consume benefits of communal labor without contributing reciprocal effort.,Used against opportunists who exploit communal hospitality.,"Adifudepɛfoɔ kɔ afahyɛ a, ɔhwere n'animuonyam.",The parasitic glutton attends the festival and loses all his public dignity.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0019,Nana,Twi,General Akan,Honorific / Noun,Grandparent / Ancestor / Monarch / Sovereign,Language & Culture,Power Distance,Sacred & Temporal Hierarchical Honorific,Prescriptive (High Deference),Nana (ancestral honorific root),"Supreme Akan title of deference, uniting living monarchs, grandparents, and deified ancestors (Nsamanfoɔ) in a continuous cosmological chain.","Mandatory address for chiefs, queenmothers, and biological/classificatory grandparents.",Nana Nyame na ɔwɔ asase ne emu nnoɔma nyinaa.,Sovereign God possesses the earth and everything therein.,,General Akan, Reviewed,Approved
GCL-TWI-0020,Opanyin (pl. Mpanyinfoɔ),Twi,Asante / Akuapem,Noun / Title,Elder / Moral arbiter / Person of maturity and wisdom,Language & Culture,Power Distance & Tightness,Age-Graded Moral Authority,Prescriptive (Social Authority),panyin (elder/senior),"A status achieved through chronological maturity, ethical character, wisdom, and recognized arbitral capacity.","Applied to heads of families, village elders, and respected arbiters.","Opanyin nni fie a, mmofra didi abɔntene.","When the elder is absent from the home, children eat disorderly out in the open street.",,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0021,Obuo,Twi,Asante / Akuapem,Noun,Respect / Reverence / Deference / Veneration,Language & Culture,Power Distance,Hierarchical Deference & Regard,Prescriptive (Virtue),bu (to esteem/value/reckon),"The moral duty of acknowledging and yielding to age, rank, wisdom, and sacred authority.",Fundamental prerequisite in the moral socialization of Akan children.,"Wobu opanyin a, wokora wo ankasa wo daakye so.","When you respect an elder, you safeguard your own future elderhood.",,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0022,Ahobraseɛ,Twi,Asante / Akuapem,Noun,Humility / Modesty / Voluntary self-lowering,Language & Culture,Power Distance & Harmony,Respectful Self-Restraint,Prescriptive (Supreme Virtue),aho- (self/body) + braseɛ (lowering down),"Voluntary restraint of ego to honor elders, superiors, and collective cohesion.","Expected posture when appearing before chiefs, in-laws, or family councils.",Ahobraseɛ na ɛde animuonyam ba.,Humility is what ushers in enduring glory and social esteem.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0023,Ɔsom,Twi,Asante / Akuapem,Noun / Verb,Service / Devotion / Faithful subservience,Language & Culture,Power Distance,Dutiful Allegiance & Devotion,Prescriptive (Virtue),som (to serve/honor/worship),"Faithful, humble dedication to chiefs, elders, deities, and community institutions.","Describes royal courtiers, religious acolytes, and apprentices.","Wosom panin a, wonya panin adikan.","If you serve an elder with devotion, you earn the right to lead as an elder in turn.",,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0024,Ɔkyeame (pl. Akyeame),Twi,Asante / Akuapem,Noun / Office,Linguist / Royal Spokesperson / Diplomatic Mediator,Language & Culture,Power Distance & High-Context,Institutionalized Mediation of Authority,Prescriptive (Royal Office),kyea (to greet/bend/curved speech),"The diplomatic bridge between ruler and people; filters raw speech into poetic, refined court language.",Direct unmediated address to a king is taboo; all dialogue must pass through the Okyeame.,Ɔhene nni aso; ɔkyeame na ɔte asɛm ma no.,The king has no direct public ears; the linguist listens and articulates on his behalf.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0025,Ohene (pl. Ahemfo),Twi,Asante / Akuapem,Noun,Chief / King / Monarch,Language & Culture,Power Distance,Sacred Sovereign Authority,Prescriptive (Monarchical Institution),hene (ruler/lord),"The sacred custodian of the ancestral stool, embodying military, judicial, and spiritual leadership.",Addressed with utmost ceremonial deference (*Nana Ohene*).,"Ɔhene nya ahotenafoɔ pa a, ne man gye mpuntuo.","When a king is surrounded by wise counselors, his nation flourishes.",,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0026,Ohemaa (pl. Ahemmaa),Twi,Asante / Akuapem,Noun,Queenmother / Matriarchal Sovereign,Language & Culture,Power Distance & Matrilineal Authority,Supreme Matriarchal Arbiter,Prescriptive (Monarchical Institution),hene (ruler) + baa/maa (female),"The co-ruler and kingmaker who nominates the chief, arbitrates family and women's affairs, and serves as the ultimate moral compass.",Possesses decisive veto power in royal succession disputes.,Ɔhemaa na ɔnim obi a ɔfata akonnwa no.,It is the queenmother who knows the legitimate heir worthy of the stool.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0027,Kuntunkruni,Twi,Asante,Noun,Solemn royal majesty / Grandeur / Court solemnity,Language & Culture,Power Distance,Hierarchical Mystique & Awe,Prescriptive (Awe-Inspiring Trait),kuntun (grand/imposing) + kruni (majestic essence),The intimidating grandeur and sacred aura surrounding the palace and the occupant of the Golden Stool.,Describes the atmosphere during royal durbars and State festivals.,Ahemfie kuntunkruni ma obubuafoɔ mpo bɔ ne bra bɔkɔɔ.,The solemn grandeur of the royal palace makes even the boastful walk with reverence.,,Asante, Reviewed,Approved
GCL-TWI-0028,Nkotodwe-gu,Twi,General Akan,Noun / Action,Genuflection / Kneeling in deep deference,Language & Culture,Power Distance,Physical Deference Ritual,Prescriptive (Protocol),nkotodwe (knees) + gu (drop/fall),"Kneeling before royalty or elders when making petitions, expressing repentance, or swearing allegiance.",Physical greeting etiquette required when approaching high chiefs.,Nkotodwe-gu na ɛtwe abufuo firi ɔpanyin bo.,Humble genuflection removes wrath from the heart of the elder.,,General Akan, Reviewed,Approved
GCL-TWI-0029,Akyiwadeɛ,Twi,Asante / Akuapem,Noun,Taboo / Forbidden act / Inviolable prohibition,Language & Culture,Tightness (Norm Strength),Proscriptive Cultural Boundaries,Proscriptive (Absolute Taboo),akyi (back/turn away) + wa + deɛ (thing turned away from),"Deed abhorred by deities, ancestors, and society; breaching it incurs severe cosmic pollution and social sanction.","Categorizes incest, suicide, insult to monarch, farming on sacred taboo days (e.g. Dabɔne).","Sɛ wodi akyiwadeɛ a, wobɔ wo nsam gu wo man so.","If you commit a taboo, you pour misfortune over your entire community.",,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0030,Musuo,Twi,Asante / Akuapem,Noun,Abomination / Sacrilege / Spiritual calamity,Language & Culture,Tightness (Sanctioning),Severe Metaphysical & Social Penalty,Proscriptive (Extreme Danger),mu-suo (inward calamity / existential curse),A violation of cosmic order so severe that it threatens the collective existence unless ritually cleansed.,Applied when crimes require ritual pacification and animal sacrifice (*Asubɔ*).,Ɔbra bɔne de musuo ba fie.,Corrupt moral conduct brings spiritual abomination into the homestead.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0031,Suban,Twi,Asante / Akuapem,Noun,Character / Moral demeanor / Habitual ethos,Language & Culture,Tightness & Moral Duty,Ethical Personhood Assessment,Evaluative Core,su (nature/essence) + ban (form/shape),The habituated moral nature of a person; the defining metric determining whether one is truly an 'onipa' (moral person).,"Primary consideration in marriage proposals, chieftaincy enstoolment, and hiring.",Suban pa na ɛkyɛn ahoɔfɛ.,Good moral character is far more precious than physical beauty.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0032,Dabɔne,Twi,Asante / Akuapem,Noun,Sacred taboo day / Non-working ritual day,Language & Culture,Tightness (Temporal Regulation),Ritual Rest & Cosmic Attunement,Prescriptive (Sacred Calendar),da (day) + bɔne (heavy/sacred/inauspicious for manual labor),"Specific days in the Akan 42-day calendar (Adae, Fofie, Awukudae) dedicated to ancestral communion where farming or tilling the earth is strictly forbidden.",Breaching Dabɔne farming taboos incurs heavy fines and sacrificial sheep penalties.,Obi nkɔ asase so wɔ Dabɔne.,No one goes to till the sacred soil on a sacred taboo day.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0033,Asubɔ (or Dwira),Twi,Asante / Akuapem,Noun,Ritual cleansing / Purification rite / Sanctification,Language & Culture,Tightness & Cosmic Restoration,Restoration of Normative Purity,Prescriptive (Ritual Repair),asu (water) + bɔ (to strike/immerse),"Sacred lustrations performed to cleanse people, royal stools, or land from moral and taboo contamination.",Central rite of the annual Odwira festival and post-taboo rehabilitation.,Asubɔ na ɛhohoro musuo gu.,Ritual purification is what washes away calamity and spiritual stain.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0034,Ti-ɛden,Twi,General Akan,Compound Noun,Stubbornness / Obstinacy / Non-compliance,Language & Culture,Tightness vs Looseness,Anti-Normative Deviance,Proscriptive (Negative Sanction),ti (head) + ɛden (hard),Hard-headed rebellion against elder counsel and established societal norms.,Used in reprimanding deviant youth who disregard customary rules.,"Ti-ɛdenfoɔ kɔ asuo a, ɔde ahina bɔbo.",The stubborn person goes to the river and returns with a shattered clay pot.,,General Akan, Reviewed,Approved
GCL-TWI-0035,Asoɔden,Twi,Asante / Akuapem,Compound Noun,Disobedience / Unyielding recalcitrance,Language & Culture,Tightness vs Looseness,Rejection of Authority & Guidance,Proscriptive (Negative Sanction),aso (ear) + ɔden (hard/stiff),"Literal 'hard-earedness'—refusal to listen to admonition, leading to social isolation and downfall.",Standard descriptor for non-conformists and rule-breakers.,Asoɔden de mmɔborɔhunu ba.,Disobedience inevitably yields misery and regret.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0036,Asotwe,Twi,Asante / Akuapem,Noun,Punishment / Sanction / Disciplinary retribution,Language & Culture,Tightness (Sanctioning),Institutionalized Norm Enforcement,Prescriptive (Legal/Moral Sanction),aso (ear) + twe (pulling / pulling by the ears),Formal disciplinary measures imposed by family heads or traditional courts to correct errant members.,"Applied to customary fines, banishment, or physical discipline.",Asotwe pa ma ɔba nya suban pa.,Righteous discipline gives a child good character.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0037,Nyamesuro,Twi,General Akan,Noun,Reverence for God / Moral conscience rooted in Divine awe,Language & Culture,Tightness & Spiritualized Morality,Cosmic Moral Accountability,Prescriptive (Virtue),Nyame (Supreme God) + suro (fear/reverence),"The interiorized moral fear of God's universal justice, serving as an omnipresent internal inhibitor against secret sins.",Considered the ultimate foundation of trustworthy character (*Onipa a ɔwɔ Nyamesuro*).,Nyamesuro ne nyansa nyinaa mfitiaseɛ.,The fear of the Lord is the beginning of all true wisdom.,,General Akan, Reviewed,Approved
GCL-TWI-0038,Ntan,Twi,Asante / Akuapem,Noun,Sacred oath / Rememorative civic pledge,Language & Culture,Tightness & Judicial Sanction,Ancestral & Civic Inviolability,Prescriptive (Sacred Contract),tan (to swear/invoke sacred memory),Invocation of a tragic historical calamity of a royal lineage; serves as an immediate injunction halting dispute actions until court review.,Customary legal injunction (e.g. *Ntamkɛseɛ* - The Great Oath of Asante).,"Woka ntan a, wodi ho adanseɛ wɔ badwa mu.","When you swear an oath, you must bear testimony and abide by the judgment of the assembly.",,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0039,Animuonyam,Twi,Asante / Akuapem,Noun,Honor / Glory / Moral radiance / Grace,Language & Culture,Face / Honor Culture,Public Moral Esteem & Grace,Prescriptive (Highest Goal),anim (face) + uonyam (brightness/radiance),"Literal 'brightness of the face'; the spiritual and moral charisma radiating from integrity, ancestral favor, and community respect.","Bestowed upon leaders, virtuous citizens, and benefactors.",Dintiti pa kyɛn ahonyadeɛ.,"A good, untarnished name is greater than vast material fortunes.",,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0040,Fɛre,Twi,Asante / Akuapem,Noun / Verb,Shame / Disgrace / Modesty / Social embarrassment,Language & Culture,Face Culture & Tightness,Regulatory Social-Sanction Emotion,Prescriptive (Moral Inhibitor),fɛre (to feel shame/respect boundaries),The deep psychological aversion to public disgrace; acts as the internal regulatory conscience preventing unethical behavior.,Communal mechanism for self-policing without external police presence.,Fɛre nni aduro.,There is no medicinal herb that can wipe away the stain of public shame.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0041,Animtia,Twi,Asante / Akuapem,Noun,Disgrace / Public humiliation / Contempt / Diminishing face,Language & Culture,Face / Honor Culture,Loss of Face & Social Status,Proscriptive (Social Harm),anim (face) + tia (short/abbreviated/diminished),Diminishing someone's public dignity through disrespect or exposure of fault.,"Used when reprimanding public insults, mocking elders, or slander.",Mma obiara mmɔ wo animtia wɔ bagua mu.,Do not invite public humiliation upon yourself before the gathered council.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0042,Anim-guaseɛ,Twi,Asante / Akuapem,Noun,Ignominy / Total social disgrace / Ruin of face,Language & Culture,Face / Honor Culture,Catastrophic Loss of Public Standing,Proscriptive (Severe Harm),anim (face) + gua-ase (falling to the ground),"Total loss of honor and moral standing in the public sphere, bringing shame to the entire clan (*Abusua*).",Core Akan honor code motto expressing that physical death is superior to dishonor.,Owuo pa sen anim-guaseɛ.,An honorable death is far preferable to living in public disgrace.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0043,Dintiti pa,Twi,General Akan,Noun Phrase,Spotless reputation / Great name / Enduring integrity,Language & Culture,Face / Honor Culture,Trans-Generational Moral Credit,Prescriptive (Supreme Asset),din (name) + titi (ancient/rooted/solid) + pa (good),A sterling moral reputation accumulated over generations that provides social capital and blessing to one's descendants.,Invoked to discourage shady shortcuts to wealth.,Din pa na ɛdi bem wɔ ahemfie.,A good name is acquitted without difficulty in the royal palace.,,General Akan, Reviewed,Approved
GCL-TWI-0044,Anidaho,Twi,Asante / Akuapem,Noun,Dignity / Self-respect / Sober composure,Language & Culture,Face Culture,Personal Dignity & Restraint,Prescriptive (Virtue),ani (eye/presence) + da-ho (lying in place / remaining steady),"Maintaining calm, dignified poise in the face of provocation or difficulty without losing self-control.","Expected of judges, spokespersons, and parents.",Anidaho ma onipa kɔ so di panyin.,Dignified self-restraint maintains a person's standing as a mature elder.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0045,Kasakoa,Twi,Asante / Akuapem,Noun,Figurative speech / Euphemism / Poetic circumlocution,Language & Culture,High-Context Communication,Indirectness & Face-Saving Pragmatics,Prescriptive (Linguistic Etiquette),kasa (speech) + koa (curved/bent),Artfully indirect language used to convey hard truths without causing offense or breaching status hierarchy.,"Vital in diplomatic missions, marriage negotiations, and royal discourse.","Ɔpanyin kasa a, ɔka no kasakoa mu na amaneɛ ansɛe.","When an elder speaks, he uses subtle nuance and circumlocution to preserve harmony.",,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0046,Mmɛ (sing. Ɛbɛ),Twi,General Akan,Noun,Proverbs / Aphorisms / Ancestral maxims,Language & Culture,High-Context Communication,Normative Rhetorical Device,Prescriptive (Rhetorical Authority),bɛ (to strike an analogy/metaphor),"The condensed distillation of historical and moral wisdom; used as indirect rhetorical tools to persuade, reprimand, and resolve conflicts.",Required element of eloquent Akan public address (*Kasa pa*).,"Ɔbadwemma na wɔbɔ no bɛ, na wɔnnkã asɛm mprɔprɔ nnkyerɛ no.","A wise child is addressed in proverbs, not through raw, blunt speech.",,General Akan, Reviewed,Approved
GCL-TWI-0047,Kasa bɔkɔɔ,Twi,General Akan,Idiom,"Gentle speech / Soft, tempered speech / Diplomatic tone",Language & Culture,High-Context & Harmony,De-escalation & Relational Protection,Prescriptive (Virtue),kasa (speech) + bɔkɔɔ (soft/gentle/cool),Speech delivered with calmness and tact to pacify anger and prevent rupture in social ties.,Counsel given to disputants during arbitration.,Kasa bɔkɔɔ dwudwo abufuo ano.,Soft and gentle speech cools the fiercest wrath.,,General Akan, Reviewed,Approved
GCL-TWI-0048,Kasa-mprɔprɔ,Twi,Asante / Akuapem,Noun,Raw speech / Blunt aggressive speech / Uncouth language,Language & Culture,High-Context vs Low-Context,Low-Context Aggressive Breach,Proscriptive (Pragmatic Failure),kasa (speech) + mprɔprɔ (raw/unfiltered/unripe),Speaking bluntly without diplomatic framing or proverbial cushion; considered immature and offensive in Akan oratorical ethics.,Severely reprimanded in courtroom proceedings and marriage mediation.,Kasa-mprɔprɔ de ntɔkwa ba badwa mu.,"Blunt, unfiltered speech causes brawls in the assembly.",,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0049,Kasafua,Twi,Asante / Akuapem,Noun,Weighed word / Diplomatic statement / Utterance,Language & Culture,High-Context Communication,Intentional Communicative Precision,Prescriptive (Pragmatic Skill),kasa (speech) + fua (single unit / kernel),"A carefully weighed, pregnant sentence whose brevity conveys vast contextual weight and authority.","Used when an elder settles a protracted dispute with a concise, decisive verdict.",Ɔpanin kasafua baako pɛ gye ɔman.,A single weighed word from an elder can save an entire nation.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0050,Bisa panyin,Twi,General Akan,Idiomatic Verb Phrase,Consulting an elder / Seeking seasoned counsel,Language & Culture,Power Distance & High-Context,Protocol of Epistemic Deference,Prescriptive (Obligation),bisa (ask) + panyin (elder),"The mandatory cultural protocol of seeking elder verification before initiating marriage, land purchase, or public statements.",Pre-condition in Akan customary transactional law.,"Wobisa panyin a, womfom kwan.","If you inquire of the elder, you never lose your pathway.",,General Akan, Reviewed,Approved
GCL-TWI-0051,Okra (or Ɔkra),Twi,General Akan,Noun,Divine Soul / Inner destiny / Spark of Supreme Being,Language & Culture,Spiritual Relationality & Destiny,Ontological Personhood & Moral Worth,Sacred Core,kra (to bid farewell / to receive divine mandate from Nyame),The divine essence bestowed directly by Onyame; carries an individual's pre-destined fate (Nkrabea) and intrinsic human dignity.,The source of unconditional moral worth in Akan humanism.,Obi nkra Nyame na ɔnkyerɛ no.,No one teaches another how to receive destiny from God; every soul is independently accountable to God.,,General Akan, Reviewed,Approved
GCL-TWI-0052,Sunsum,Twi,General Akan,Noun,Spirit / Personality / Moral force / Charisma,Language & Culture,Spiritualized Relationality,Interpersonal Spiritual Influence & Character,Evaluative Dimension,sunsum (spirit/shadow/personality carrier),"The experiential, moral, and dynamic spirit inherited from the father (Ntɔro); determines one's psychological strength and moral character.",Used in evaluating charismatic leadership (*Sunsum kɛseɛ* / *Sunsum duru*).,Sunsum duru na ɛtumi fa asɛm ho.,"A weighty, formidable spirit is what withstands adversity and witchcraft.",,General Akan, Reviewed,Approved
